iter	RMSE
0	0.1224318294
1	0.1224114265
2	0.1223869462
3	0.1223408941
4	0.1223050381
5	0.122259799
6	0.1222226455
7	0.1221880678
8	0.1221623123
9	0.1221296041
10	0.1221116013
11	0.1220572908
12	0.1220291516
13	0.121989654
14	0.1219564103
15	0.1219146298
16	0.1218619373
17	0.1218170622
18	0.1218087078
19	0.1217677375
20	0.121738091
21	0.1217314384
22	0.1217065366
23	0.1216635981
24	0.1216334964
25	0.1216084588
26	0.1215721063
27	0.1215396071
28	0.121498707
29	0.1214703314
30	0.1214329633
31	0.1214200896
32	0.1213824476
33	0.1213466145
34	0.1213066063
35	0.1212581787
36	0.1212448498
37	0.1212130432
38	0.1211846402
39	0.1211587714
40	0.1211169491
41	0.1210975133
42	0.1210614958
43	0.1210310587
44	0.1210025094
45	0.1209879634
46	0.120962801
47	0.1209266561
48	0.1209074056
49	0.1208659941
50	0.1208551203
51	0.1208391232
52	0.1208281706
53	0.1208080584
54	0.1208009387
55	0.1207719439
56	0.1207383039
57	0.1207210659
58	0.1206919999
59	0.1206646974
60	0.1206252435
61	0.1205744734
62	0.1205527914
63	0.1205210341
64	0.1204678342
65	0.1204300158
66	0.1203791211
67	0.120360791
68	0.1203322007
69	0.1203030616
70	0.1202826939
71	0.1202653612
72	0.1202271284
73	0.1201976916
74	0.1201595829
75	0.1201165412
76	0.1200786395
77	0.1200554715
78	0.1200225912
79	0.1199995805
80	0.1199608875
81	0.1199361415
82	0.1199103875
83	0.1199041154
84	0.1198817743
85	0.1198533589
86	0.1198106884
87	0.1197946913
88	0.1197840434
89	0.1197407858
90	0.1197064455
91	0.119678782
92	0.1196721401
93	0.1196152954
94	0.119609676
95	0.1195756421
96	0.1195690291
97	0.119554976
98	0.1195356477
99	0.1195106735
