iter	Passed	Remaining
0	4	437
1	8	415
2	11	379
3	15	377
4	19	368
5	23	367
6	26	355
7	44	516
8	60	608
9	68	615
10	73	597
11	83	610
12	91	613
13	94	578
14	96	548
15	99	522
16	102	501
17	106	483
18	109	465
19	111	446
20	114	429
21	117	416
22	120	402
23	122	388
24	125	376
25	127	363
26	130	352
27	133	344
28	137	336
29	140	327
30	143	319
31	146	310
32	150	305
33	155	302
34	158	294
35	161	287
36	166	283
37	169	276
38	172	270
39	175	263
40	178	256
41	181	251
42	184	244
43	187	238
44	190	232
45	193	226
46	197	222
47	201	218
48	204	213
49	207	207
50	210	202
51	213	197
52	216	192
53	219	187
54	222	182
55	225	176
56	229	172
57	231	167
58	234	163
59	237	158
60	240	153
61	244	149
62	246	144
63	251	141
64	254	137
65	260	134
66	263	129
67	266	125
68	269	121
69	272	116
70	275	112
71	278	108
72	281	104
73	284	100
74	287	95
75	290	91
76	293	87
77	298	84
78	301	80
79	304	76
80	308	72
81	311	68
82	314	64
83	317	60
84	320	56
85	323	52
86	326	48
87	328	44
88	331	41
89	334	37
90	337	33
91	340	29
92	342	25
93	346	22
94	349	18
95	352	14
96	356	11
97	358	7
98	361	3
99	364	0
