asset,training_data,n_train,model,val_RMSE_ret,val_MAE_usd,val_DirAcc
Bitcoin,3 years (2023-08 →),745,Naive,0.02609980055079045,1635.7872558593733,
Bitcoin,3 years (2023-08 →),745,Ridge,0.026491579447725882,1667.9865326838094,47.5
Bitcoin,3 years (2023-08 →),745,LightGBM,0.026458752160106486,1664.1287730887482,47.5
Bitcoin,3 years (2023-08 →),745,CatBoost,0.026414696615532265,1662.4997562482695,47.5
Bitcoin,full history (2018-01 →),2750,Naive,0.02609980055079045,1635.7872558593733,
Bitcoin,full history (2018-01 →),2750,Ridge,0.02605030582497253,1645.1162078238456,50.625
Bitcoin,full history (2018-01 →),2750,LightGBM,0.026191789993859113,1642.7846980533122,47.5
Bitcoin,full history (2018-01 →),2750,CatBoost,0.0261311873824703,1640.3668301730236,47.5
Gold,3 years (2023-08 →),512,Naive,0.020346624817236744,58.04679436639903,
Gold,3 years (2023-08 →),512,Ridge,0.020176441457416906,57.31482817785425,62.38532110091743
Gold,3 years (2023-08 →),512,LightGBM,0.020229462888098765,57.17839909384965,63.30275229357798
Gold,3 years (2023-08 →),512,CatBoost,0.02016695203653182,56.984765854194606,63.30275229357798
Gold,full history (2018-01 →),1874,Naive,0.020346624817236744,58.04679436639903,
Gold,full history (2018-01 →),1874,Ridge,0.02024136869925243,57.731585563253525,54.12844036697248
Gold,full history (2018-01 →),1874,LightGBM,0.020280336856584705,57.58240662111251,62.38532110091743
Gold,full history (2018-01 →),1874,CatBoost,0.020079624414776107,57.99035144936796,60.55045871559633
Silver,3 years (2023-08 →),512,Naive,0.055360668780528456,2.5088254246143022,
Silver,3 years (2023-08 →),512,Ridge,0.05524255345850844,2.507458233005291,51.37614678899082
Silver,3 years (2023-08 →),512,LightGBM,0.055287232196593795,2.498092246794336,62.38532110091743
Silver,3 years (2023-08 →),512,CatBoost,0.055529622101128606,2.543608287371746,49.54128440366973
Silver,full history (2018-01 →),1874,Naive,0.055360668780528456,2.5088254246143022,
Silver,full history (2018-01 →),1874,Ridge,0.05537591920083395,2.4903894798150947,62.38532110091743
Silver,full history (2018-01 →),1874,LightGBM,0.05602229738674228,2.523925396570056,47.706422018348626
Silver,full history (2018-01 →),1874,CatBoost,0.05536800403467823,2.4878545576372626,57.79816513761468
