asset,model,dropped_group,n_features,cv_RMSE_ret,cv_RMSE_ret_std,cv_DirAcc,delta_RMSE_pct
Bitcoin,Ridge,(none — all features),29,0.03160911521103536,0.006932736054751594,49.355670103092784,0.0
Bitcoin,Ridge,return path,23,0.03161428117212367,0.006931092007604865,49.22680412371134,0.01634326381430018
Bitcoin,Ridge,volatility state,20,0.0316004444981061,0.006927419553988844,49.140893470790374,-0.02743105231314269
Bitcoin,Ridge,momentum / trend,21,0.03161815713501391,0.006945329332137147,50.60137457044674,0.02860543206659738
Bitcoin,Ridge,macro,27,0.03161102821864306,0.006931269471449949,49.26975945017182,0.006052075785500932
Bitcoin,Ridge,sentiment / calendar / volume,25,0.031612232871562645,0.006923101540723978,48.41065292096221,0.009863169236057345
Bitcoin,LightGBM,(none — all features),29,0.03162468026123409,0.006918982932842108,49.7852233676976,0.0
Bitcoin,LightGBM,return path,23,0.03163150555787115,0.006916244061643897,49.570446735395194,0.02158218385348576
Bitcoin,LightGBM,volatility state,20,0.031614782989548215,0.00693343853714792,49.871134020618555,-0.03129603715870122
Bitcoin,LightGBM,momentum / trend,21,0.03161927027016699,0.006936735678266919,49.74226804123711,-0.017106864077087724
Bitcoin,LightGBM,macro,27,0.0316325054576025,0.006908863214888766,50.0,0.02474395410094754
Bitcoin,LightGBM,sentiment / calendar / volume,25,0.03163761181744133,0.00692403450512127,49.0979381443299,0.040890709725505126
Gold,Ridge,(none — all features),28,0.011123956578885392,0.0022291633508290313,54.755273609251915,0.0
Gold,Ridge,return path,22,0.011126692478342753,0.00222748608594922,54.943548765881495,0.024594661422483455
Gold,Ridge,volatility state,19,0.011124577595852388,0.0022303111718979768,54.56508053931201,0.00558269858923488
Gold,Ridge,momentum / trend,20,0.011125693561920155,0.002234768652931105,55.57630033217737,0.015614795171536855
Gold,Ridge,macro,23,0.011123704985987866,0.0022287759868470747,55.324094731870495,-0.0022617213195852415
Gold,LightGBM,(none — all features),28,0.011173601956691297,0.002200262471502717,54.37038298249871,0.0
Gold,LightGBM,return path,22,0.01117001932769427,0.0021998834772899247,54.563956863911656,-0.03206333115240989
Gold,LightGBM,volatility state,19,0.011130316675648767,0.002229934043442988,55.95702080218355,-0.38738878662675225
Gold,LightGBM,momentum / trend,20,0.011133409870868817,0.0022296462037750563,55.06464803028999,-0.35970572406520684
Gold,LightGBM,macro,23,0.011159293825568017,0.002207970836468025,53.98724555031065,-0.12805298755708128
Silver,Ridge,(none — all features),29,0.02392521686206109,0.006252668767015943,53.28602480501215,0.0
Silver,Ridge,return path,23,0.02392155839291364,0.00624862155607594,52.97068789157397,-0.015291268491057775
Silver,Ridge,volatility state,20,0.023911996273782356,0.006236229793180141,54.10817031070196,-0.05525796633298885
Silver,Ridge,momentum / trend,21,0.02392757573903912,0.006251118840696468,52.97148702211994,0.009859375535170578
Silver,Ridge,macro,23,0.023923869699481726,0.006254287696939201,53.41292673571155,-0.005630722543203959
Silver,LightGBM,(none — all features),29,0.023936163528236302,0.006221321434051986,52.97100754379236,0.0
Silver,LightGBM,return path,23,0.023929648098805434,0.0062112449912703,52.716564377956786,-0.02722002389055067
Silver,LightGBM,volatility state,20,0.0239127809353937,0.006229265871618015,52.65423219537144,-0.0976873040452686
Silver,LightGBM,momentum / trend,21,0.023903792258188578,0.006241259956582731,52.907876230661046,-0.13524001041159694
Silver,LightGBM,macro,23,0.023947934274616216,0.0061923571381746765,53.919415675744794,0.04917557638686176
