asset,system,model,n_days,max_price_revision_pct,period,MAE_usd,RMSE_usd,MAPE_usd,RMSE_ret,R2_ret,DirAcc_pct,DirAcc_pvalue,DM_pvalue_vs_naive
Bitcoin,naive (old data),Naive,161,0.7458587841195019,2026-02-18 → 2026-07-28,1093.478843167701,1421.1200396382994,1.5824458535360915,0.020639960461215835,-0.00035502386754893145,0.0,1.0,
Bitcoin,before (3 y data),CatBoost,161,0.7458587841195019,2026-02-18 → 2026-07-28,1096.702722302322,1424.806780779857,1.5884983963649482,0.020683379074233222,-0.00456818232450984,47.82608695652174,0.7357471587425056,0.5653390156728011
Bitcoin,naive (new data),Naive,161,0.7458587841195019,2026-02-18 → 2026-07-28,1092.361243206521,1420.934092446512,1.580672412601893,0.020636785509461932,-0.0002758055564036077,0.0,1.0,
Bitcoin,after (full history),CatBoost,161,0.7458587841195019,2026-02-18 → 2026-07-28,1100.6399116781222,1425.5701539469637,1.5933899053356313,0.020706904395594184,-0.00708475182157553,46.58385093167702,0.8278432427017055,0.3374448376976167
Gold,naive (old data),Naive,111,0.27576512448825863,2026-02-18 → 2026-07-28,60.97208218961132,78.84493987312219,1.3431667218072407,0.01726203950741941,-0.010267428885447849,0.0,1.0,
Gold,before (3 y data),CatBoost,111,0.27576512448825863,2026-02-18 → 2026-07-28,61.742295107567195,80.0346580925894,1.36160490061559,0.017520363724703586,-0.040730721826347516,47.747747747747745,0.7153898860982122,0.1515954439838887
Gold,naive (new data),Naive,111,0.27576512448825863,2026-02-18 → 2026-07-28,60.87208130982528,78.78943118600984,1.3406588389832048,0.01724651544269626,-0.009992004143650535,0.0,1.0,
Gold,after (full history),CatBoost,111,0.27576512448825863,2026-02-18 → 2026-07-28,61.07173087987074,79.5352221644757,1.347593206956989,0.017418214393956,-0.03020220709221655,49.549549549549546,0.5752249063427732,0.6155928697323123
Silver,naive (old data),Naive,111,0.3461127076362702,2026-02-18 → 2026-07-28,1.9545403214188295,2.570275206793571,2.6520404949154877,0.033970955829521365,-0.004234781321764247,0.0,1.0,
Silver,before (3 y data),CatBoost,111,0.3461127076362702,2026-02-18 → 2026-07-28,1.9685289025337838,2.5860941916251834,2.6730956112958113,0.03418101781617187,-0.016692704011319393,48.648648648648646,0.6478103422875541,0.2716369528434215
Silver,naive (new data),Naive,111,0.3461127076362702,2026-02-18 → 2026-07-28,1.9563330916671051,2.571025957236416,2.6552226269915176,0.03398803867681553,-0.004351682654405664,0.0,1.0,
Silver,after (full history),GRU,111,0.3461127076362702,2026-02-18 → 2026-07-28,1.9536949134998567,2.572575090472863,2.6531744293040678,0.03403381414701519,-0.007058848581613875,53.153153153153156,0.2846101139017878,0.7391984885721175
