asset,regime_type,regime,n_days,mae_pct_served,mae_pct_naive,dir_hit_served_pct,rmse_ret_served,rmse_ret_naive
Bitcoin,vol_regime,high volatility,69,1.6494067617873243,1.6552819469028293,47.82608695652174,0.02179036087770418,0.02174492959533038
Bitcoin,vol_regime,low volatility,69,1.3044091940114941,1.2935500035270941,46.3768115942029,0.019048578844388413,0.019055411070260816
Bitcoin,vol_regime,medium volatility,69,1.6415216051322434,1.624090908003483,46.3768115942029,0.0215160579160169,0.021478369634155146
Bitcoin,trend_regime,down-trend (20d),96,1.6403157701584348,1.62455791399591,40.625,0.021760688471429458,0.021666649995988455
Bitcoin,trend_regime,up-trend (20d),111,1.4379097096309323,1.437604662056736,52.25225225225225,0.01997371476402979,0.02001015571169487
Bitcoin,day_regime,down day,105,1.50726273873897,1.4593453310015296,37.142857142857146,0.019284566122918862,0.018947234708952997
Bitcoin,day_regime,up day,102,1.5570167072220722,1.5911805634974947,56.86274509803921,0.022293297761860183,0.022539060060471326
Gold,vol_regime,high volatility,48,1.3299199975426337,1.3504713308294667,52.083333333333336,0.01622282814317265,0.01669076245591174
Gold,vol_regime,low volatility,48,1.2797439478235162,1.267693507099659,52.083333333333336,0.016099219702015655,0.016048402326002634
Gold,vol_regime,medium volatility,47,1.283463710847879,1.2575602209384809,51.06382978723404,0.018074651115022405,0.01738190452523282
Gold,trend_regime,down-trend (20d),86,1.3531592981099918,1.3467073489363468,52.32558139534884,0.018001185478024574,0.01784775974298198
Gold,trend_regime,up-trend (20d),57,1.2142976166660744,1.2098317648452779,50.877192982456144,0.014844470049427304,0.014832310586829994
Gold,day_regime,down day,72,1.5423444126397408,1.3747524489451588,9.722222222222223,0.01941619215638989,0.017881372421113845
Gold,day_regime,up day,71,1.0498290996811859,1.2083812152204956,94.36619718309859,0.013678872196892308,0.015434085557818137
Silver,vol_regime,high volatility,48,2.925322056749067,2.9340609005176947,60.416666666666664,0.037158248997533755,0.03727209816956769
Silver,vol_regime,low volatility,48,2.1118257915651206,2.140403558978512,60.416666666666664,0.026375771994972003,0.026612806916774902
Silver,vol_regime,medium volatility,47,2.3958189794123452,2.38152185765059,44.680851063829785,0.0312076457525288,0.030868599580041515
Silver,trend_regime,down-trend (20d),81,2.5655300295198127,2.5844128729796765,59.25925925925925,0.03302694905602303,0.03305436417731181
Silver,trend_regime,up-trend (20d),62,2.3641718767799427,2.3575544944200297,50.0,0.030344523059393114,0.03031093662592768
Silver,day_regime,down day,69,2.838520230778534,2.7225833971387754,15.942028985507244,0.03526123268343443,0.034402442186726015
Silver,day_regime,up day,74,2.14227963280733,2.2655076616597314,91.8918918918919,0.028391721963260116,0.02936239432364082
