config_id,p_n_estimators,p_learning_rate,p_num_leaves,p_min_child_samples,p_subsample,p_colsample_bytree,p_reg_lambda,RMSE_ret_mean,RMSE_ret_std,MAE_ret_mean,MAE_ret_std,R2_ret_mean,R2_ret_std,DirAcc_pct_mean,DirAcc_pct_std,RMSE_usd_mean,RMSE_usd_std
3,400,0.01,4,50,0.8,0.8,5.0,0.02521215956541717,0.0026151384756374564,0.01802394823284994,0.0022362374758749426,-0.019376460529303696,0.01732626048225188,49.857142857142854,1.6350747346085137,2085.723523599836,194.3167608489886
7,400,0.01,8,50,0.8,0.8,5.0,0.02521250848768604,0.002621249228393462,0.018020896269731565,0.002236867280255896,-0.019352971862766133,0.017815636459499413,49.857142857142854,1.6350747346085137,2085.464042257127,194.46044214207444
11,400,0.01,15,50,0.8,0.8,5.0,0.025213815060812186,0.0026214501603340937,0.018019847297577343,0.0022372923652709304,-0.019459188718737697,0.017945268243265245,49.857142857142854,1.6350747346085137,2085.4728017091766,194.46870513551102
10,400,0.01,15,50,0.8,0.8,0.0,0.02521514950870709,0.0026227558860055324,0.018022061100393765,0.002237684404597906,-0.019553743844171023,0.01797294778443349,49.857142857142854,1.6350747346085137,2085.4591468259086,194.6752089591827
6,400,0.01,8,50,0.8,0.8,0.0,0.025216329583925057,0.00262294009385113,0.018024650198238172,0.0022366456493659644,-0.019649710385902353,0.01809188159693713,49.857142857142854,1.6350747346085137,2085.7568186504313,194.95617866685808
0,400,0.01,4,20,0.8,0.8,0.0,0.025218252483985907,0.0026415686543088497,0.018025095933518205,0.002275675013062959,-0.01967972373196686,0.02010506399338271,49.714285714285715,1.4568627181693674,2085.8231458451846,194.31171044038044
2,400,0.01,4,50,0.8,0.8,0.0,0.025218287961697075,0.002615863888672483,0.018028179402868702,0.0022339252145617892,-0.019871864015200802,0.01772737071918053,49.857142857142854,1.6350747346085137,2086.3365902854016,194.9234592868628
1,400,0.01,4,20,0.8,0.8,5.0,0.02522721902544592,0.002634747000146853,0.018045432284025515,0.0022662788371445018,-0.020452616422179215,0.018895573581961995,49.857142857142854,1.6350747346085137,2086.4942809128834,194.55184338772128
15,400,0.03,4,50,0.8,0.8,5.0,0.02525163665024161,0.0025989016581285545,0.01803632072177954,0.0022081739272504417,-0.022723528345376498,0.01754550284087642,50.0,1.8294640678379561,2089.61418399273,197.1800851528784
8,400,0.01,15,20,0.8,0.8,0.0,0.025252790634460228,0.002648680164899984,0.018062810739843234,0.002279444078472223,-0.022359145893092597,0.01734277097352122,48.857142857142854,1.1780301787479017,2088.498711604488,196.89994564154074
14,400,0.03,4,50,0.8,0.8,0.0,0.025255154666608427,0.0025957469038998117,0.0180423005016638,0.0022024404543718357,-0.02305032192162998,0.018492604916265507,49.714285714285715,1.4568627181693674,2090.0476745133374,197.93698651107815
13,400,0.03,4,20,0.8,0.8,5.0,0.025274538568008563,0.0026128142961217276,0.018051446001004355,0.002250249736973941,-0.024523806774901014,0.020551085597786994,49.142857142857146,1.0690449676496965,2090.3492672791863,197.4914380144117
12,400,0.03,4,20,0.8,0.8,0.0,0.025277339766199728,0.0026419362135512033,0.018059676657471782,0.0022792264285725803,-0.02455838049301573,0.023698820918762957,49.0,1.2371791482634822,2090.0248347076085,197.04236547305334
5,400,0.01,8,20,0.8,0.8,5.0,0.025286665346588327,0.002650890909603531,0.018113087055718888,0.0022804899302781858,-0.025072607552865944,0.01627669876589796,49.285714285714285,1.0973065354098004,2091.0091116080253,199.38572860038644
9,400,0.01,15,20,0.8,0.8,5.0,0.02530523531711852,0.002640375567317224,0.01813243068561582,0.002290488635396241,-0.026663770982724988,0.014526354476693615,48.57142857142857,1.4568627181693667,2092.108082437459,199.39318317838985
21,400,0.03,15,20,0.8,0.8,5.0,0.025317504473820387,0.00263143947037546,0.018117594451940264,0.0022928716618141527,-0.027779512171348386,0.01581427956042505,49.857142857142854,1.9948914348241331,2093.229457336851,197.96990144087962
4,400,0.01,8,20,0.8,0.8,0.0,0.02534116149407758,0.0026882334295645766,0.018159153545144448,0.0023084993597658294,-0.029215840214620536,0.020196740037050787,48.857142857142854,1.1780301787479017,2095.4827797204007,204.76089861813927
17,400,0.03,8,20,0.8,0.8,5.0,0.025373300290150762,0.0026698071764018156,0.018209256052442647,0.0023101371777678867,-0.03201481786610505,0.019553298920322214,49.42857142857143,1.1780301787479044,2097.9977135127797,204.145899548718
16,400,0.03,8,20,0.8,0.8,0.0,0.02537888494526802,0.0026745576335805345,0.018196217879434276,0.0023120254319672373,-0.032444869543985566,0.020216582832686947,49.14285714285714,0.6998542122237656,2098.8525096053068,203.39054767669313
20,400,0.03,15,20,0.8,0.8,0.0,0.025406180530428417,0.0026323648593163714,0.01824560684985015,0.002279230796321163,-0.035016480568586084,0.015579022752270128,49.14285714285714,1.7142857142857142,2100.7759124032514,202.0790027035885
22,400,0.03,15,50,0.8,0.8,0.0,0.025429301930879167,0.002647764666702858,0.018246248132494626,0.0022534385533877085,-0.03681584039496866,0.021677252482757158,50.0,2.157095552934501,2104.71660970474,211.81431470221673
18,400,0.03,8,50,0.8,0.8,0.0,0.02543299964122315,0.002648272618927754,0.01825501500624382,0.0022493108068079477,-0.037118538986141814,0.021938651102976565,49.85714285714286,2.226922466874272,2105.317529149915,212.32402572043372
