config_id,p_n_estimators,p_learning_rate,p_num_leaves,p_min_child_samples,p_subsample,p_colsample_bytree,p_reg_lambda,RMSE_ret_mean,RMSE_ret_std,MAE_ret_mean,MAE_ret_std,R2_ret_mean,R2_ret_std,RMSE_usd_mean,RMSE_usd_std,DirAcc_pct_mean,DirAcc_pct_std
9,600,0.01,8,50,0.8,0.8,5.0,0.023894979781947812,0.006246124991519383,0.015920609798787504,0.0026497123680572117,-0.00032714827980454,0.0037959025575651007,1.0024624508316131,0.8909094320102234,53.287463239994885,2.119415719268995
33,600,0.03,8,50,0.8,0.8,5.0,0.023908881800333015,0.006210325936825159,0.015924661591012718,0.002621051767899908,-0.002396228835686076,0.007189679752712873,1.0030167493086948,0.8900648608263344,52.401227464518605,1.8454647378968156
2,600,0.01,4,50,0.8,0.8,0.0,0.023911728798553973,0.006229031205996983,0.01592901664112468,0.0026411650559327996,-0.0022109849724028796,0.002878706618107268,1.002878356534964,0.8905532367807093,53.91861654519883,1.6345783984700852
8,600,0.01,8,50,0.8,0.8,0.0,0.023918605629619345,0.006221928266584192,0.015933907252189516,0.0026336984356447315,-0.0030209958511691892,0.005694701751758229,1.0031276832246747,0.8904045627768744,52.90707710011508,2.2956255922567674
1,600,0.01,4,20,0.8,0.8,5.0,0.023923493275132532,0.006249194436412928,0.01594252981633295,0.0026311213530203982,-0.002811114116270663,0.0023447632714445727,1.0044570663725951,0.8937652435840787,51.76863572433193,2.2100687573022832
37,600,0.03,15,20,0.8,0.8,5.0,0.02392756422608051,0.006253795137134903,0.01594828260062545,0.002642946870163569,-0.0030271845889403015,0.0027749288440445706,1.0039125748578452,0.8927294750817787,50.37926735711546,2.6442639818032183
5,600,0.01,4,100,0.8,0.8,5.0,0.023929269417625167,0.006198269448368981,0.0159279237814853,0.002634991278733359,-0.004525353780327729,0.00581402793802928,1.0031507884702333,0.8899378621118965,52.96908963048203,2.6990810353052743
27,600,0.03,4,50,0.8,0.8,5.0,0.02392973486600762,0.006226807387034175,0.01591504501528515,0.002623967280224353,-0.003941918090795915,0.005751316979596466,1.0051182493509008,0.8937085337264178,52.78017516941567,1.2060868651167136
26,600,0.03,4,50,0.8,0.8,0.0,0.023931979748893807,0.006213264977121974,0.015928193845243924,0.0026055735132760015,-0.0044525362539744595,0.007480333390535577,1.0049849072718495,0.8928961755082342,52.022279759621526,1.5740431743809082
7,600,0.01,8,20,0.8,0.8,5.0,0.023934884517314632,0.006259182010796361,0.015947699094997637,0.002640975840377037,-0.0036225403491624286,0.0030328365164574047,1.0053002918599951,0.8950708886370629,51.2642245237182,0.5431156463263432
29,600,0.03,4,100,0.8,0.8,5.0,0.023935373136372763,0.006172935315096291,0.015939499106503583,0.002600765395482448,-0.005659752824048653,0.009021218769327138,1.003701234255261,0.890000939666989,51.579081958828795,2.0685833389394808
